"CIE10","DESCRIPCION DIAGNOSTICO","GENERO","NÚMERO DE INCAPACIDADES","DIAS TOTALES INCAPACIDAD","PROMEDIO DIAS POR INCAPACIDAD","PERIODO DE CONSULTA"
"G619","POLINEUROPATIA INFLAMATORIA, NO ESPECIFICADA","F","2","60","30","01/07/2019-31/12/2020"
"H000","ORZUELO Y OTRAS INFLAMACIONES PROFUNDAS DEL PARPADO","F","1","2","2","01/07/2019-31/12/2020"
"H001","CALACIO [CHALAZION]","F","2","10","5","01/07/2019-31/12/2020"
"H010","BLEFARITIS","F","1","1","1","01/07/2019-31/12/2020"
"H104","CONJUNTIVITIS CRONICA","F","1","1","1","01/07/2019-31/12/2020"
"H109","CONJUNTIVITIS, NO ESPECIFICADA","F","1","2","2","01/07/2019-31/12/2020"
"H110","PTERIGION","F","6","105","18","01/07/2019-31/12/2020"
"H112","CICATRICES CONJUNTIVALES","F","3","45","15","01/07/2019-31/12/2020"
"H160","ULCERA DE LA CORNEA","F","3","10","3","01/07/2019-31/12/2020"
"H169","QUERATITIS, NO ESPECIFICADA","F","2","7","4","01/07/2019-31/12/2020"
"H201","IRIDOCICLITIS CRONICA","F","1","1","1","01/07/2019-31/12/2020"
"H218","OTROS TRASTORNOS ESPECIFICADOS DEL IRIS Y DEL CUERPO CILIAR","F","3","12","4","01/07/2019-31/12/2020"
"H251","CATARATA SENIL NUCLEAR","F","1","1","1","01/07/2019-31/12/2020"
"H271","LUXACION DEL CRISTALINO","F","1","30","30","01/07/2019-31/12/2020"
"H400","SOSPECHA DE GLAUCOMA","F","2","2","1","01/07/2019-31/12/2020"
"H402","GLAUCOMA PRIMARIO DE ANGULO CERRADO","F","1","2","2","01/07/2019-31/12/2020"
"H404","GLAUCOMA SECUNDARIO A INFLAMACION OCULAR","F","1","5","5","01/07/2019-31/12/2020"
"H500","ESTRABISMO CONCOMITANTE CONVERGENTE","F","3","32","11","01/07/2019-31/12/2020"
"H501","ESTRABISMO CONCOMITANTE DIVERGENTE","F","1","10","10","01/07/2019-31/12/2020"
"H547","DISMINUCION DE LA AGUDEZA VISUAL, SIN ESPECIFICACION","F","1","7","7","01/07/2019-31/12/2020"
"H588","OTROS TRASTORNOS ESPECIFICADOS DEL OJO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","F","1","2","2","01/07/2019-31/12/2020"
